NUMBER_SENSORS;FREQUENCY;TIME_DATA;MIN_TIME;MAX_TIME;AVG_TIME;STD_TIME;SUCCESFUL_CALCULATIONS
4;8;1;27,18518199157715;211,80933599853515;117,83875412416458;50,04230844233372;32
4;8;2;26,033365005493163;342,01033898925783;136,3572378759384;76,54019759420363;32
4;8;4;52,90041799926758;711,2109489898681;156,75953103065487;115,81692838433955;32
4;8;8;48,73510398864746;478,5472300109863;149,3921790003777;88,19787732185226;32
4;8;16;48,11991600036621;1139,807424987793;171,562316467762;182,71608336414775;32
4;8;32;46,880359008789064;507,6760690002441;161,2360102205276;100,23451029666992;32
4;8;64;46,1447440032959;330,355466003418;169,40480006361008;63,663603768877195;32
4;8;128;32,83529800415039;314,32097399902347;178,82463615560533;76,6667374403735;32
4;8;256;43,414046997070315;350,4110410003662;197,5102580938339;78,9653128933808;32
4;8;1;42,37146499633789;285,17432499694826;123,24745821714401;60,959044539776755;32
4;8;4;37,72305999755859;213,07575201416014;116,11841340732573;49,30733859627623;32
4;8;8;42,55108599853516;222,62333599853517;128,32833518743516;51,80331600001488;32
4;8;16;36,58458999633789;291,4929810028076;133,23055262565612;66,1787078578722;32
4;8;32;42,172600006103515;381,22425100708006;138,8748465323448;63,673211462365785;32
4;8;64;48,29874899291992;266,4307230072022;148,74893503236768;53,33863088307673;32
4;8;128;34,63191999816895;289,75990600585936;180,76931540632248;72,31728769290523;32
4;8;256;59,677972991943356;308,3279680023193;190,82605321884154;74,51568562966779;32
4;8;1;24,316673004150392;210,1819939880371;112,0043064379692;46,988579031683074;32
4;8;2;30,077929000854493;220,03067601013183;123,873542907238;55,397429667869616;32
4;8;4;28,117350997924806;196,56858099365235;111,6412129998207;47,72644395869469;32
4;8;8;38,432037994384764;217,21297999572755;129,9328910012245;55,571078235010276;32
4;8;16;42,13669099426269;312,4194739990234;140,1614571852684;58,97695841280671;32
4;8;32;61,31280299377441;741,3999980010987;166,44255437421802;115,1422567036092;32
4;8;64;56,780733993530276;233,99057598876954;149,65872056007385;53,47906065874835;32
4;8;128;35,43654400634766;461,7338390045166;182,65695222043993;82,26285717975193;32
4;8;256;35,47052700805664;310,3748020019531;184,73848178243634;86,26329334497902;32
