NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
1,2,44.96773400115967,[0.062],0.062,8,32
1,7,8.518435998916626,[0.218],0.218,8,32
1,8,47.11982500076294,[0.249],0.249,8,32
1,9,11.303864999771118,[0.28],0.28,8,32
1,11,12.984329999923705,[0.342],0.342,8,32
1,9,18.445369998931884,[0.28],0.28,8,32
1,12,14.018223001480102,[0.373],0.373,8,32
1,14,11.893210998535157,[0.436],0.436,8,32
1,16,13.157178001403809,[0.499],0.499,8,32
1,18,15.908946001052856,[0.56],0.56,8,32
1,20,13.487883001327514,[0.623],0.623,8,32
1,27,15.84995000076294,[0.841],0.841,8,32
1,23,20.586037000656127,[0.716],0.716,8,32
1,24,14.531482999801636,[0.748],0.748,8,32
1,21,21.951708999633787,[0.653],0.653,8,32
1,15,16.502194999694826,[0.467],0.467,8,32
1,18,20.957223001480102,[0.56],0.56,8,32
1,15,14.3992530002594,[0.467],0.467,8,32
1,14,16.74127199935913,[0.436],0.436,8,32
1,11,19.9138780002594,[0.342],0.342,8,32
1,14,19.167653999328614,[0.436],0.436,8,32
1,14,19.908665000915526,[0.436],0.436,8,32
1,17,20.02525599861145,[0.529],0.529,8,32
1,23,22.355097000122072,[0.716],0.716,8,32
1,28,17.645188999176025,[0.873],0.873,8,32
1,31,24.36735600090027,[0.965],0.965,8,32
1,32,21.573424999237062,[0.996],0.996,8,32
1,24,29.93485000038147,[0.747],0.747,8,32
1,19,18.546781999588013,[0.592],0.592,8,32
1,15,26.13458800125122,[0.467],0.467,8,32
1,10,21.666752998352052,[0.311],0.311,8,32
1,12,29.016479000091554,[0.374],0.374,8,32
2,4,63.061252000808715,[0.062;0.062],0.062,8,32
2,15,52.38682900047302,[0.218;0.249],0.23349999999999999,8,32
2,17,21.11432200050354,[0.28;0.249],0.2645,8,32
2,24,29.37680599975586,[0.467;0.28],0.37350000000000005,8,32
2,28,32.11906099891662,[0.53;0.343],0.4365,8,32
